Node,Element Type,BACnet Object Name,BACnet Object Identifier,Text,Link Target,Center X,Center Y,Left,Top,Width,Height,Center X %,Center Y %,Hidden,Note
217,Value Display,NAE189/Field Bus1.GTP-CH5.Parameters.CH5-RDY-TO-RUN,MV:3002950,,,1024.8,379.8,1007.9,372.7,33.7,14.2,68.18,49.46,,
218,Value Display,NAE189/Field Bus1.GTP-AH4.ZN-T,AI:3002378,,,1468.5,559.0,1453.0,553.7,31.0,10.6,97.7,72.79,,
219,Value Display,NAE189/Field Bus1.GTP-TOWER48.TW48MU-F,AI:3003161,,,654.5,252.0,632.6,245.5,43.8,13.0,43.55,32.81,,
220,Value Display,NAE189/Field Bus1.GTP-TOWER48.TW4R-T,AI:3003155,,,547.5,165.0,530.7,157.7,33.6,14.5,36.43,21.48,,
221,Value Display,NAE189/Field Bus1.GTP-TOWER23.TW3-LVL,AI:3002547,,,199.5,92.0,180.4,85.1,38.2,13.7,13.27,11.98,,
222,Value Display,NAE189/Field Bus1.GTP-CH3.CH3-AUTO,BI:3002744,,,316.0,510.0,300.3,505.2,31.4,9.5,21.02,66.41,,
223,Value Display,NAE189/Field Bus1.GTP-BP.BP2-SS,BO:3002505,,,1270.5,569.0,1256.1,564.4,28.8,9.2,84.53,74.09,,
224,Value Display,NAE189/Field Bus1.GTP-CH5.CH5-STM-F,AI:3002914,,,1112.5,481.0,1088.4,473.5,48.2,15.0,74.02,62.63,,
225,Value Display,NAE189/Field Bus1.GTP-AH4.DA-T,AI:3002382,,,1434.5,559.0,1419.0,552.4,31.0,13.2,95.44,72.79,,
226,Value Display,NAE189/Field Bus1.GTP-TOWER23.TW23MU-F,AI:3002573,,,49.5,224.5,29.9,219.0,39.2,11.0,3.29,29.23,,
227,Value Display,NAE189/Field Bus1.GTP-CH5.CH5-STM-P,AI:3002915,,,1114.5,532.0,1095.8,525.5,37.5,13.0,74.15,69.27,,
228,Value Display,NAE189/Field Bus2.BNET-CH5.AV-5,AV:3008227,,,1105.5,576.0,1093.8,570.0,23.5,12.0,73.55,75.0,,
229,Value Display,NAE189/Field Bus1.GTP-CH5.CH5-STM-T,AI:3002918,,,1103.5,509.0,1086.7,501.7,33.6,14.5,73.42,66.28,,
230,Value Display,NAE189/Field Bus1.GTP-LP.LP4-SS,BO:3002653,,,62.5,676.0,44.5,669.4,36.1,13.2,4.16,88.02,,
231,Value Display,NAE189/Field Bus1.GTP-TOWER48.TRASAR-INTLCK,BO:3019501,,,1182.5,236.0,1164.5,229.4,36.1,13.2,78.68,30.73,,
232,Value Display,NAE189/Field Bus1.GTP-AH2.DA-T,AI:3002393,,,1434.5,507.0,1419.0,500.4,31.0,13.2,95.44,66.02,,
233,Value Display,NAE189/Field Bus1.GTP-BP.BCW-DP,AI:3002503,,,1316.5,528.0,1295.3,521.2,42.5,13.6,87.59,68.75,,
234,Value Display,NAE189/Field Bus1.GTP-CH1.CH1-TP2-SS,BO:3002739,,,136.5,287.6,118.5,281.3,36.1,12.6,9.08,37.45,,
235,Value Display,NAE189/Field Bus1.GTP-TRT23.TW23-CHMP-SS,BO:3002523,,,451.5,280.0,433.5,273.4,36.1,13.2,30.04,36.46,,
236,Value Display,NAE189/Field Bus2.BNET-CH3.TURBINE SPEED,AV:3007348,,,374.0,434.0,349.5,426.7,49.0,14.7,24.88,56.51,,
237,Value Display,NAE189/Field Bus1.GTP-TRT48.TW48-CHMP-F,AI:3004344,,,1166.5,258.0,1149.4,253.0,34.2,10.0,77.61,33.59,,
238,Value Display,NAE189/Field Bus1.GTP-LP.LP2-SC,AO:3002652,,,215.5,691.1,197.5,684.5,36.1,13.2,14.34,89.98,,
239,Value Display,NAE189/Field Bus1.GTP-CH5.Parameters.CH5-LOAD,AV:3002934,,,954.9,412.0,923.9,403.0,62.0,18.0,63.53,53.64,,
240,Value Display,NAE189/Field Bus2.BNET-CH3.TURBINE INLET STEAM PRES,AV:3007344,,,458.5,429.0,442.9,422.9,31.2,12.3,30.51,55.86,,
241,Value Display,NAE189/Field Bus2.BNET-CH4.GOVERNOR VLV POS,AV:3007495,,,772.5,395.0,743.6,387.6,57.9,14.8,51.4,51.43,,
242,Value Display,NAE189/Field Bus1.GTP-LP.Parameters.PCWF-WSP,AV:3002694,,,479.5,696.0,452.2,688.5,54.5,15.0,31.9,90.62,,
243,Value Display,NAE189/Field Bus2.BNET-CH4.TURBINE INLET STEAM PRES,AV:3007439,,,784.5,428.0,765.8,421.5,37.5,13.0,52.2,55.73,,
244,Value Display,NAE189/Field Bus2.BNET-CH5.GOVERNOR VLV POS,AV:3008291,,,1096.5,395.0,1067.6,387.6,57.9,14.8,72.95,51.43,,
245,Value Display,NAE189/Field Bus1.GTP-LP.LCWR-T,AI:3002654,,,1410.5,580.0,1393.7,572.7,33.6,14.5,93.85,75.52,,
246,Value Display,NAE189/Field Bus1.GTP-CH1.CH1-CHWR-T,AI:3002732,,,91.5,558.0,74.7,550.7,33.6,14.5,6.09,72.66,,
247,Value Display,NAE189/Field Bus1.GTP-TOWER48.TW4-OARH,AI:3003167,,,519.5,43.0,503.5,35.9,32.1,14.2,34.56,5.6,,
248,Value Display,NAE189/Field Bus1.GTP-TOWER23.TW3F2-SS,BO:3002557,,,140.5,30.0,122.5,23.4,36.1,13.2,9.35,3.91,,
249,Text Label,,,BW,,1273.5,633.0,1263.5,628.2,20.0,9.5,84.73,82.42,,
250,Value Display,NAE189/Field Bus1.GTP-TOWER48.TW5-LVL,AI:3003153,,,774.5,103.0,755.4,96.1,38.2,13.7,51.53,13.41,,
251,Value Display,NAE189/Field Bus1.GTP-TOWER48.TW5-V,BO:3003171,,,676.5,144.0,659.5,137.7,34.0,12.6,45.01,18.75,,
252,Value Display,NAE189/Field Bus1.GTP-AH5.AH5-OADB-T,AI:3003007,,,1326.5,97.0,1310.5,89.9,32.1,14.2,88.26,12.63,,
253,Value Display,NAE189/Field Bus2.BNET-CH4.ENTERING CHW TEMP,AV:3007432,,,635.3,576.0,623.6,570.0,23.5,12.0,42.27,75.0,,
254,Value Display,NAE189/Field Bus1.GTP-CH4.Parameters.Alarm Reset,MV:3002909,,,754.5,374.0,739.7,367.0,29.7,13.9,50.2,48.7,,
255,Value Display,NAE189/Field Bus1.GTP-TOWER48.TF7-SC,AO:3003203,,,989.5,45.0,971.5,38.4,36.1,13.2,65.83,5.86,,
256,Value Display,NAE189/Field Bus1.GTP-CH3.CH3-CHWS-T,AI:3002755,,,424.5,560.0,407.7,552.7,33.6,14.5,28.24,72.92,,
257,Value Display,NAE189/Field Bus2.BNET-CH5.ENTERING CHW TEMP,AV:3008228,,,955.2,576.0,943.4,570.0,23.5,12.0,63.55,75.0,,
258,Value Display,NAE189/Field Bus1.GTP-TOWER23.Parameters.TWMU-LVL-SP,AV:3002599,,,411.4,81.4,393.3,74.8,36.1,13.2,27.37,10.6,,
259,Value Display,NAE189/Field Bus1.GTP-TRT23.TW23-COND,AI:3002521,,,438.5,177.0,416.6,170.7,43.8,12.6,29.17,23.05,,
260,Value Display,NAE189/Field Bus1.GTP-TOWER48.TW7-LVL,AI:3003163,,,1046.5,103.0,1027.4,96.1,38.2,13.7,69.63,13.41,,
261,Value Display,NAE189/Field Bus1.GTP-TRT48.TW48-FCL,AI:3002975,,,1271.5,218.0,1249.6,211.7,43.8,12.6,84.6,28.39,,
262,Value Display,NAE189/Field Bus1.GTP-CH3.CH3-CP3-SC,AO:3002759,,,334.5,586.0,316.5,579.4,36.1,13.2,22.26,76.3,,
263,Value Display,NAE189/Field Bus1.GTP-TRT48.TW48-COND,AI:3002979,,,1271.5,177.0,1249.6,170.7,43.8,12.6,84.6,23.05,,
264,Value Display,NAE45/Field Bus1.AH-2.BP-C,BO:3219186,,,1359.2,288.5,1344.2,281.8,30.0,13.2,90.43,37.56,,Point on NAE45 (outside the five controllers)
265,Value Display,NAE45/Field Bus1.AH-2.BV-O,AO:3219414,,,1296.8,347.9,1276.1,342.0,41.4,11.8,86.28,45.3,,Point on NAE45 (outside the five controllers)
266,Value Display,NAE189/Field Bus1.GTP-TOWER48.TF6-SS,BO:3003175,,,853.5,31.0,835.5,24.4,36.1,13.2,56.79,4.04,,
267,Value Display,NAE189/Field Bus1.GTP-TOWER23.TW2F1-SC,AO:3002564,,,282.5,44.0,264.5,37.4,36.1,13.2,18.8,5.73,,
268,Value Display,NAE189/Field Bus2.BNET-CH4.TURBINE SPEED,AV:3007443,,,696.0,425.9,669.5,418.6,53.0,14.7,46.31,55.46,,
269,Value Display,NAE189/Field Bus1.GTP-CH4.CH4-TWR-T1,AI:3002867,,,618.5,369.0,601.7,361.7,33.6,14.5,41.15,48.05,,
270,Value Display,NAE189/Field Bus1.GTP-CH4.CH4-STMBLW-V,AO:3002875,,,794.5,451.0,769.5,445.0,50.0,12.0,52.86,58.72,,
271,Value Display,NAE189/Field Bus1.GTP-CH3.CH3-STM-P,AI:3002746,,,462.5,525.0,446.9,518.9,31.2,12.3,30.77,68.36,,
272,Value Display,NAE189/Field Bus2.BNET-CH1.AV-40,AV:3006815,,,56.0,476.0,36.5,469.4,39.0,13.2,3.73,61.98,,
273,Value Display,NAE189/Field Bus1.GTP-CH3.Parameters.CH3-RDY-TO-RUN,MV:3002816,,,375.5,389.0,358.6,381.9,33.7,14.2,24.98,50.65,,
274,Value Display,NAE189/Field Bus1.GTP-TOWER48.TP4-SC,AO:3003196,,,1014.5,261.0,996.5,254.4,36.1,13.2,67.5,33.98,,
275,Value Display,NAE189/Field Bus2.BNET-CH5.ENTERING COND WATER TEMP,AV:3008232,,,828.5,359.0,816.8,353.0,23.5,12.0,55.12,46.74,,
276,Value Display,NAE189/Field Bus1.GTP-CH4.CH4-STM-P,AI:3002860,,,790.2,532.0,771.5,525.5,37.5,13.0,52.58,69.27,,
277,Value Display,NAE189/Field Bus1.GTP-TRT48.CW-SANDFLTR-BW-F,AI:3004461,,,1244.5,658.0,1222.8,652.0,43.5,12.0,82.8,85.68,,
278,Value Display,NAE189/Field Bus1.GTP-TOWER48.Parameters.TF-TWST-WSP,AV:3003254,,,1033.5,203.0,1015.9,197.2,35.1,11.5,68.76,26.43,,
279,Value Display,NAE45/Programming.Weather Station.OADB-T,AV:3021782,,,1448.5,80.0,1428.4,71.6,40.1,16.8,96.37,10.42,,Point on NAE45 (outside the five controllers)
280,Value Display,NAE189/Field Bus1.GTP-CH3.CH3-CHW-F,AI:3002751,,,431.5,591.0,407.8,584.5,47.5,13.0,28.71,76.95,,
281,Value Display,NAE189/Field Bus1.GTP-CH3.Parameters.CH3-LOAD,AV:3002802,,,321.5,416.0,293.5,408.0,56.0,16.0,21.39,54.17,,
282,Value Display,NAE189/Field Bus1.GTP-TOWER23.TW3S-T,AI:3002569,,,134.5,143.0,117.7,135.7,33.6,14.5,8.95,18.62,,
283,Value Display,NAE189/Field Bus1.GTP-CH1.Parameters.CH1-LOAD,AV:3002785,,,98.5,496.0,70.5,488.0,56.0,16.0,6.55,64.58,,
284,Value Display,NAE189/Field Bus1.GTP-CH5.Parameters.CH5-sRATE,AV:3002936,,,937.6,446.1,923.9,439.0,27.5,14.2,62.38,58.09,,
285,Value Display,NAE189/Field Bus1.GTP-TOWER23.TW3F2-SC,AO:3002565,,,140.5,44.0,122.5,37.4,36.1,13.2,9.35,5.73,,
286,Value Display,NAE189/Field Bus1.GTP-CH3.CH3-STM-T,AI:3002749,,,453.5,504.0,436.7,496.7,33.6,14.5,30.17,65.62,,
287,Value Display,NAE189/Field Bus1.GTP-TOWER23.TW23R-T,AI:3002561,,,333.5,144.0,316.7,136.7,33.6,14.5,22.19,18.75,,
288,Value Display,NAE189/Field Bus1.GTP-CH5.CH5-CP5-SC,AO:3002927,,,979.4,612.0,961.3,605.4,36.1,13.2,65.16,79.69,,
289,Value Display,NAE189/Field Bus1.GTP-CH4.CH4-ENABLE,BO:3002871,,,625.5,548.0,605.9,541.8,39.2,12.4,41.62,71.35,,
290,Value Display,NAE189/Field Bus1.GTP-CH4.CH4-STM-T,AI:3002863,,,778.2,509.0,761.5,501.7,33.6,14.5,51.78,66.28,,
291,Value Display,NAE189/Field Bus1.GTP-TOWER48.TF4-SC,AO:3003198,,,584.5,46.0,566.5,39.4,36.1,13.2,38.89,5.99,,
