Controller,Object Name,Object Identifier,Display Name,Description
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.AV-14,AV:3054032,CH2 PHASE B MOTOR CURRENT,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.AV-15,AV:3054031,CH2 PHASE C MOTOR CURRENT,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.AV-19,AV:3054055,CH2 LEAVING CHW TEMP ACT SP,Actual leaving CHST setpoint
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.AV-20,AV:3054054,CH2 MOTOR CURRENT ACTUAL SP,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.AV-21,AV:3054030,CH2 EVAP SATURATION TEMP,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.AV-22,AV:3054029,CH2 COND SATURATION TEMP,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.AV-23,AV:3054053,CH2 DISCHARGE TEMP,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.AV-24,AV:3054052,CH2 OIL SUMP TEMPERATURE,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.AV-25,AV:3054051,CH2 REFRIGERANT LEVEL POS,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.AV-26,AV:3054050,CH2 ACCUM OPERATING HOURS,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.AV-27,AV:3054049,CH2 ACCUM SYSTEM STARTS,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.AV-28,AV:3054048,CH2 OIL SUMP PRESSURE,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.AV-29,AV:3054047,CH2 OIL PUMP PRESSURE,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.AV-30,AV:3054046,CH2 PROX SENSOR ACT POS,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.AV-31,AV:3054045,CH2 PROX SENSOR REF POS,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.AV-32,AV:3054067,CH2 ANTI RECYCLE TIME REMAIN,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.AV-33,AV:3054066,CH2 ACC MAP PRV POS,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.AV-34,AV:3054065,CH2 VSD OUTPUT VOLTAGE,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.AV-35,AV:3054064,CH2 VSD INPUT KW,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.AV-36,AV:3054063,CH2 VSD INPUT KWH,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.AV-37,AV:3054062,CH2 VSD DC LINK VOLTAGE,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.AV-38,AV:3054061,CH2 VSD DC LINK CURRENT,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.AV-39,AV:3054060,ECCP.CH2 VSD SURGE COUNT,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.AV-40,AV:3054059,CH2 VSD OUTPUT FREQUENCY,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.AV-41,AV:3054058,CH2 VSD MAX VOLTAGE THD,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.AV-42,AV:3054057,CH2 VSD MAX CURRENT TDD,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.AV-43,AV:3054056,CH2 VSD HFILTER SUPPLY KVA,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.AV-105,AV:3054074,CH2 MTR SHAFT END VIBR,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.AV-106,AV:3054073,CH2 MTR OP SHAFT END VIBR,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.AV-107,AV:3054072,CH2 MTR SHAFT END TEMP,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.AV-108,AV:3054071,CH2 MTR OP SHAFT END TEMP,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.AV-109,AV:3054070,CH2 MTR WINDING AVG TEMP,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.AV-110,AV:3054069,CH2 VSD INTERNAL AMBIEN TEMP,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.AV-111,AV:3054068,CH2 VSD CONVERTER HSINK TEMP,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.AV-112,AV:3054078,CH2 PRE ROTATIONAL VANE POS,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.AV-113,AV:3054077,CH2 ACC MAP OUTPUT FREQ,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.AV-114,AV:3054076,CH2 REFRIGERANT LEVEL SP,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.AV-115,AV:3054075,CH2 DROP LEG REFRIG TEMP,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.BO-1,BO:3054079,CH2 EQ COM FAIL,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.BV-1,BV:3054086,CH2 REM START STOP CMD,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.BV-3,BV:3054085,CH2 VSD FIXED SPEED SELECT,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.BV-5,BV:3054084,CH2 COMPR MOTOR STATUS,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.BV-6,BV:3054083,CH2 LIQUID LINE SOLENOID,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.BV-7,BV:3054082,CH2 CHW PUMP STAT,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.BV-8,BV:3054081,CH2 STOP SWITCH STATUS,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.BV-9,BV:3054080,CH2 CHW FLOW SWITCH STAT,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.BV-17,BV:3054091,CH2 ACC VALVE SURGE MAP,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.BV-18,BV:3054090,CH2 ACC NEW SURGE POINT,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.BV-19,BV:3054089,CH2 VSD COOL PUMP RUN RELAY,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.BV-20,BV:3054088,CH2 VSD HARMONIC FILTER INST,
ECCP-NAE6,NAE6/Field Bus1.CH2-BACnet.BV-21,BV:3054087,CH2 ACC SURGE DETECTION TYPE,
